date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:38:41	85/85	---MCZ	200	added ('OK')	text/plain	etag:W/%225ad9a6ee-41%22	https://sinaptika.mercubuana.ac.id/robots.txt		(from )
00:38:44	39658/39658	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Sep%202023%2014:04:43%20GMT	https://sinaptika.mercubuana.ac.id/	C:/My%20Web%20Sites/sinaptika/sinaptika.mercubuana.ac.id/index.html	(from )
00:38:44	6022/6022	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2027%20Sep%202023%2014:04:43%20GMT	https://sinaptika.mercubuana.ac.id/xmlrpc.php	C:/My%20Web%20Sites/sinaptika/sinaptika.mercubuana.ac.id/xmlrpc.php	(from https://sinaptika.mercubuana.ac.id/)
00:38:45	40693/40693	---M--	200	added ('OK')	image/png	etag:%225adc8441-9ef5%22	https://sinaptika.mercubuana.ac.id/wp-content/uploads/2018/04/sinaptika-300x122.png	C:/My%20Web%20Sites/sinaptika/sinaptika.mercubuana.ac.id/wp-content/uploads/2018/04/sinaptika-300x122.png	(from https://sinaptika.mercubuana.ac.id/)
00:38:45	1683/1683	---MCZ	200	added ('OK')	text/css	etag:W/%225ad9d4eb-693%22	https://sinaptika.mercubuana.ac.id/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.0.1	C:/My%20Web%20Sites/sinaptika/sinaptika.mercubuana.ac.id/wp-content/plugins/contact-form-7/includes/css/styles972f.css	(from https://sinaptika.mercubuana.ac.id/)
00:38:46	75966/75966	---MCZ	200	added ('OK')	text/css	etag:W/%225ad9d44e-128be%22	https://sinaptika.mercubuana.ac.id/wp-content/themes/event/style.css?ver=4.9.23	C:/My%20Web%20Sites/sinaptika/sinaptika.mercubuana.ac.id/wp-content/themes/event/style11c4.css	(from https://sinaptika.mercubuana.ac.id/)
00:38:46	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%225ad9d44e-7918%22	https://sinaptika.mercubuana.ac.id/wp-content/themes/event/assets/font-awesome/css/font-awesome.min.css?ver=4.9.23	C:/My%20Web%20Sites/sinaptika/sinaptika.mercubuana.ac.id/wp-content/themes/event/assets/font-awesome/css/font-awesome.min11c4.css	(from https://sinaptika.mercubuana.ac.id/)
00:38:46	8430/8430	---MCZ	200	added ('OK')	text/css	etag:W/%225ad9d44e-2b62%22	https://sinaptika.mercubuana.ac.id/wp-content/themes/event/css/responsive.css?ver=4.9.23	C:/My%20Web%20Sites/sinaptika/sinaptika.mercubuana.ac.id/wp-content/themes/event/css/responsive11c4.css	(from https://sinaptika.mercubuana.ac.id/)
00:38:46	1401/1401	---MCZ	200	added ('OK')	text/css	etag:W/%225addfae7-579%22	https://sinaptika.mercubuana.ac.id/wp-content/plugins/add-to-any/addtoany.min.css?ver=1.14	C:/My%20Web%20Sites/sinaptika/sinaptika.mercubuana.ac.id/wp-content/plugins/add-to-any/addtoany.mind50e.css	(from https://sinaptika.mercubuana.ac.id/)
00:38:46	7180/7180	---MCZ	200	added ('OK')	text/css	etag:W/%225addfbe4-2293%22	https://sinaptika.mercubuana.ac.id/wp-content/plugins/forget-about-shortcode-buttons/public/css/button-styles.css?ver=2.1.1	C:/My%20Web%20Sites/sinaptika/sinaptika.mercubuana.ac.id/wp-content/plugins/forget-about-shortcode-buttons/public/css/button-stylese1fc.css	(from https://sinaptika.mercubuana.ac.id/)
